,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Week-1,,,,,,,Week-2,,,,,,,Week-3,,,,,,,Week-4,,,,,,,Week-5,,,,,,
ID,TASK,START,END,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5
1,McDonald’s India BDM Project,-,-,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T
1.1,Data Acquisition (Kaggle),01-04-2026,03-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Data Cleaning & Metadata,04-04-2026,07-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,Descriptive Stats & Outliers,08-04-2026,12-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,Bivariate & Correlation Analysis,13-04-2026,17-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,Excel Solver (600-kCal Bundles),18-04-2026,21-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,Nutrient-Density Indexing,22-04-2026,24-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,Final Report Drafting ,25-04-2026,28-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,Plagiarism Check & Submission,29-04-2026,30-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
